indroea,event_id,inicio,fin,duracion,deficit_hm3
9002,1,1982-04-29,1982-05-27,29,14.709168000000002
9002,2,1985-12-08,1985-12-25,18,4.624128
9002,3,1986-06-19,1986-07-23,35,3.020544000000001
9002,4,1986-08-08,1986-09-06,30,1.5897600000000012
9002,5,1986-11-08,1986-11-23,16,5.831136
9002,6,1987-05-27,1987-06-14,19,5.737392000000002
9002,7,1987-06-28,1987-07-03,6,2.19456
9002,8,1988-11-23,1988-11-30,8,2.0615039999999993
9002,9,1989-01-02,1989-01-06,5,2.33064
9002,10,1989-01-20,1989-02-25,37,66.89995200000001
9002,11,1989-03-13,1989-04-02,21,3.9152602046511724
9002,12,1989-10-20,1989-11-05,17,1.3201920000000014
9002,13,1989-11-18,1989-12-18,31,2.82528
9002,14,1990-01-04,1990-04-06,93,80.7555776735533
9002,15,1990-05-13,1990-05-17,5,1.540512
9002,16,1990-07-20,1990-10-22,95,31.853952000000007
9002,17,1990-11-16,1990-11-21,6,2.7492479999999997
9002,18,1992-01-22,1992-02-12,22,7.0104960000000025
9002,19,1992-02-26,1992-03-24,28,45.05820785289346
9002,20,1994-08-22,1994-09-23,33,3.6685440000000007
9002,21,1994-12-05,1994-12-20,16,1.916352
9002,22,1995-04-09,1995-04-23,15,13.80888
9002,23,1995-05-06,1995-05-12,7,1.9470239999999999
9002,24,1995-05-28,1995-06-18,22,3.627504000000001
9002,25,1995-07-28,1995-08-20,24,1.4143680000000014
9002,26,1995-09-01,1995-12-03,94,39.68352
9002,27,1997-04-03,1997-05-05,33,39.023855999999995
9002,28,2000-03-08,2000-03-25,18,1.2979693628988587
9002,29,2001-12-07,2002-01-14,39,15.722208000000002
9002,30,2002-01-29,2002-02-06,9,6.390576000000001
9002,31,2002-03-26,2002-04-02,8,5.073321820659831
9002,32,2002-04-23,2002-05-04,12,17.190144
9002,33,2007-01-09,2007-01-24,16,19.428336
9002,34,2008-02-01,2008-03-06,35,43.847568
9002,35,2011-11-24,2011-12-17,24,12.369024
9002,36,2012-04-03,2012-04-07,5,3.728160000000001
9002,37,2015-12-22,2016-01-03,13,5.909328000000001
9002,38,2016-12-20,2017-01-10,22,7.978608
9002,39,2017-04-12,2017-11-05,208,127.389024
9002,40,2017-11-22,2017-11-29,8,3.212352000000001
9002,41,2019-01-07,2019-01-19,13,4.748544
9002,42,2021-04-08,2021-04-22,15,1.518048000000001
9003,43,1974-01-02,1974-02-05,35,2.8717977599999998
9003,44,1974-04-30,1974-07-11,73,2.5024464000000006
9003,45,1974-07-29,1974-08-18,21,0.10891584000000003
9003,46,1974-09-04,1974-10-18,45,0.5429030400000001
9003,47,1975-01-10,1975-01-16,7,0.9437083200000002
9003,48,1982-04-19,1982-05-27,39,3.7053503999999995
9003,49,1989-01-18,1989-02-25,39,2.4701587199999997
9003,50,1989-03-10,1989-04-03,25,1.7015616000000005
9003,51,1989-09-25,1989-10-08,14,0.11442816000000006
9003,52,1990-02-06,1990-04-06,60,6.9445944
9003,53,1992-02-18,1992-03-24,36,1.9741363200000002
9003,54,1994-07-02,1994-09-20,81,0.58955904
9003,55,1995-04-11,1995-06-30,81,2.8041984000000006
9003,56,1995-07-13,1995-08-07,26,0.4209321600000001
9003,57,1996-05-28,1996-07-25,59,0.55245888
9003,58,1997-04-07,1997-04-18,12,0.9706608
9003,59,1998-07-30,1998-09-23,56,0.5881939200000001
9003,60,1999-06-25,1999-07-26,32,0.45011808000000003
9003,61,1999-10-19,1999-11-14,27,0.46872
9003,62,2000-02-07,2000-02-14,8,0.2451556800000001
9003,63,2000-03-12,2000-03-23,12,0.11914560000000009
9003,64,2001-11-06,2001-11-13,8,0.15755904000000004
9003,65,2001-12-12,2002-01-02,22,1.1709135913899957
9003,66,2002-01-30,2002-02-06,8,0.1137067200000001
9003,67,2002-03-27,2002-04-04,9,0.1233792
9003,68,2002-04-20,2002-05-04,15,0.9743328000000001
9003,69,2003-11-18,2003-12-28,41,4.971801600000001
9003,70,2004-01-11,2004-01-17,7,0.29025216000000004
9003,71,2006-11-10,2006-11-20,11,0.20407680000000006
9003,72,2006-12-25,2007-01-29,36,2.1886364713899957
9003,73,2008-02-13,2008-03-05,22,0.5548305600000003
9003,74,2011-04-10,2011-04-23,14,0.5203872000000003
9003,75,2011-10-01,2011-11-04,35,1.2818304000000003
9003,76,2011-11-26,2011-12-17,22,0.72881856
9003,77,2012-04-03,2012-04-10,8,0.5227632000000001
9003,78,2012-07-07,2012-10-19,105,0.7119532800000002
9003,79,2016-12-20,2017-01-10,22,0.4046665513899954
9003,80,2017-04-23,2017-06-02,41,0.17858879999999994
9003,81,2017-10-12,2017-11-07,27,0.41330304000000007
9003,82,2017-11-21,2017-11-30,10,0.23763456000000013
9004,83,1974-07-06,1974-07-24,19,1.392336
9004,84,1974-08-07,1974-08-31,25,2.7259200000000003
